date,amount_mxn,weekday_written,notebook_date_text,raw_amount_text,source_page,recognition_confidence,review_status,notes
2023-01-02,608.00,Lun,02 Lun,608,1,high,verified,
2023-01-03,431.00,Mar,03 Mar,431,1,high,verified,
2023-01-04,820.00,Mie,04 Mie,820,1,high,verified,
2023-01-05,338.00,Jue,05 Jue,338,1,high,verified,
2023-01-06,200.00,Vie,06 Vie,200,1,high,verified,
2023-01-07,210.00,Sab,07 Sab,210,1,high,verified,
2023-01-09,777.00,Lun,09 Lun,777,1,high,verified,
2023-01-10,1460.00,Mar,10 Mar,1460,1,high,verified,
2023-01-11,560.00,Mie,11 Mie,560,1,high,verified,
2023-01-12,880.00,Jue,12 Jue,880,1,high,verified,
2023-01-13,254.00,Vie,13 Vie,254,1,high,verified,
2023-01-14,,Sab,14 Sab,,1,high,missing_amount,The date is written but no sales amount is present.
2023-01-16,715.00,Lun,16 Lun,715,1,high,verified,
2023-01-17,802.00,Mar,17 Mar,802,1,high,verified,
2023-01-18,1406.00,Mie,18 Mie,1406,1,high,verified,
2023-01-19,835.00,Jue,19 Jue,835,1,high,verified,
2023-01-20,345.00,Vie,20 Vie,345,1,high,verified,
2023-01-21,389.00,Sab,21 Sab,389,1,high,verified,
2023-01-23,867.00,Lun,23 Lun,867,1,high,verified,
2023-01-24,1034.00,Mar,24 Mar,1034,1,high,verified,
2023-01-25,1124.00,Mie,25 Mie,1124,1,high,verified,
2023-01-26,218.00,Jue,26 Jue,218,1,high,verified,
2023-01-27,355.00,Vie,27 Vie,355,1,high,verified,
2023-01-28,117.00,Sab,28 Sab,117,1,medium,adjudicated,Two independent readings differed; visual review and the section subtotal support 117.
2023-01-30,1220.00,Lun,30 Lun,1220,1,medium,adjudicated,Two independent readings differed; visual review and the section subtotal support 1220.
2023-01-31,1086.00,Mar,31 Mar,1086,1,high,verified,
2023-02-01,680.00,Mie,01 Mie,680,1,high,verified,
2023-02-02,586.00,Jue,02 Jue,586,1,high,verified,
2023-02-03,740.00,Vie,03 Vie,740,1,high,verified,
2023-02-04,400.00,Sab,04 Sab,400,1,high,verified,
2023-02-06,694.00,Lun,06 Lun,694,1,high,verified,
2023-02-07,800.00,Mar,07 Mar,800,1,high,verified,
2023-02-08,800.00,Mie,08 Mie,800,1,high,verified,
2023-02-09,847.00,Jue,09 Jue,847,1,medium,adjudicated,Two independent readings differed; visual review and the section subtotal support 847.
2023-02-10,626.00,Vie,10 Vie,626,1,high,verified,
2023-02-11,229.00,Sab,11 Sab,229,1,high,verified,
2023-02-13,2380.00,Lun,13 Lun,2380,1,high,verified,
2023-02-14,1164.00,Mar,14 Mar,1164,1,high,verified,
2023-02-15,1811.00,Mie,15 Mie,1811,1,high,verified,
2023-02-16,1130.00,,16 [weekday crossed out],1130,2,medium,adjudicated,Written weekday is overwritten; ISO date follows the visible day numeral and calendar.
2023-02-17,916.00,Vie,17 Vie,916,2,high,verified,
2023-02-18,622.00,Sab,18 Sab,622,2,high,verified,
2023-02-20,909.00,Lun,20 Lun,909,2,high,verified,
2023-02-21,293.00,Mar,21 Mar,293,2,high,verified,
2023-02-22,873.00,Mie,22 Mie,873,2,high,verified,
2023-02-23,497.00,Jue,23 Jue,497,2,high,verified,
2023-02-24,286.00,Vie,24 Vie,286,2,high,verified,
2023-02-25,207.00,Sab,26 Sab,207,2,medium,adjudicated,Notebook says 26 Sab; normalized to Saturday 2023-02-25 from the sequence.
2023-02-27,1182.00,Lun,27 Lun,1182,2,high,verified,
2023-02-28,517.00,Mar,28 Mar,517,2,high,verified,
2023-03-01,951.00,Mie,01 Mie,951,2,high,verified,
2023-03-02,512.00,Jue,02 Jue,512,2,high,verified,
2023-03-03,380.00,Vie,03 Vie,380,2,high,verified,
2023-03-04,300.00,Sab,04 Sab,300,2,high,verified,
2023-03-06,825.00,Lun,06 Lun,825,2,high,verified,
2023-03-07,858.00,Mar,07 Mar,858,2,high,verified,
2023-03-08,766.00,Mie,08 Mie,766,2,high,adjudicated,Both independent reviewers read 766; the previous 866 inference was removed.
2023-03-09,501.00,Jue,09 Jue,501,2,high,verified,
2023-03-10,340.00,Vie,10 Vie,340,2,high,verified,
2023-03-11,519.00,Sab,11 Sab,519,2,high,verified,
2023-03-13,1007.00,Lun,13 Lun,1007,2,high,verified,
2023-03-14,687.00,Mar,14 Mar,687,2,high,verified,
2023-03-15,755.00,Mie,15 Mie,755,2,high,verified,
2023-03-16,605.00,Jue,16 Jue,605,3,high,verified,
2023-03-17,332.00,Vier,17 Vier,332,3,high,verified,
2023-03-18,406.00,Sab,18 Sab,406,3,high,verified,
2023-03-20,820.00,Lun,20 Lun,820,3,high,verified,
2023-03-21,686.00,Mar,21 Mar,686,3,high,verified,
2023-03-22,920.00,Mier,22 Mier,920,3,high,adjudicated,Amount adjudicated as 920.
2023-03-23,780.00,Jue,23 Jue,780,3,high,verified,
2023-03-24,466.00,Vie,24 Vie,466,3,high,verified,
2023-03-25,219.00,Sab,25 Sab,219,3,high,verified,
2023-03-27,1050.00,Lun,27 Lun,1050,3,high,verified,
2023-03-28,601.00,Mar,28 Mar,601,3,high,verified,
2023-03-29,492.00,Mier,29 Mier,492,3,high,verified,
2023-03-30,442.00,Jue,30 Jue,442,3,medium,verified,Weekday hand resembles Jue.
2023-03-31,335.00,Vier,31 Vier,335,3,high,verified,
2023-04-01,500.00,Sab,01 Sab,500,3,high,verified,Month inferred from chronological position.
2023-04-03,288.00,Lun,03 Lun,288,3,high,verified,Month inferred from chronological position.
2023-04-04,1000.00,Mar,04 Mar,1000,3,high,verified,Month inferred from chronological position.
2023-04-05,360.00,Mier,05 Mier,360,3,high,verified,Month inferred from chronological position.
2023-04-06,,,06,[blank],3,medium,missing_amount,Bare date numeral only.
2023-04-07,,,7,[blank],3,medium,missing_amount,Bare date numeral only.
2023-04-08,,,8,[blank],3,medium,missing_amount,Bare date numeral only.
2023-04-10,786.00,Lun,10 Lun,786,3,high,verified,
2023-04-11,551.00,Mar,11 Mar,551,3,high,verified,
2023-04-12,300.00,Mier,12 Mier,300,3,high,verified,
2023-04-13,415.00,Jue,13 Jue,415,3,high,verified,
2023-04-14,784.00,Vier,14 Vier,784,3,high,verified,
2023-04-15,480.00,Sab,15 Sab,480,3,high,verified,
2023-04-17,1284.00,Lun,[17] Lun,1284,3,medium,verified,Date partly clipped at page edge.
2023-04-18,773.00,Mart,[18] Mart,773,3,medium,verified,Date partly clipped at page edge.
2023-04-19,666.00,Mier,[19] Mier,666,3,medium,verified,Date partly clipped at page edge.
2023-04-20,812.00,Jue,[20] Jue,812,3,medium,verified,Date partly clipped at page edge.
2023-04-21,402.00,Vier,[21] Vier,402,3,medium,verified,Date partly clipped at page edge.
2023-04-22,121.00,Sab,[22] Sab,121,3,medium,verified,Date partly clipped at page edge.
2023-04-24,1664.00,Lun,24 Lun,1664,3,high,verified,
2023-04-25,1170.00,Mar,25 Mar,1170,3,high,verified,
2023-04-26,457.00,Mier,26 Mier,457,3,high,verified,
2023-04-27,291.00,Jue,27 Jue,291,3,high,verified,
2023-04-28,,,28,[blank],3,high,missing_amount,Date numeral and ruled blank line only.
2023-04-29,432.00,Sab,29 Sab,432,3,high,verified,
2023-05-01,,L,L,[blank],4,medium,missing_amount,Date numeral omitted; normalized from heading and weekday sequence.
2023-05-02,482.00,M,M,482,4,medium,verified,Date numeral omitted; normalized from sequence.
2023-05-03,1080.00,M.,M.,1080,4,medium,verified,Date numeral omitted; normalized from sequence.
2023-05-04,442.00,J,J,442,4,medium,verified,Date numeral omitted; normalized from sequence.
2023-05-05,,V,V,[blank],4,medium,missing_amount,Date numeral omitted; blank amount line.
2023-05-06,214.00,S,S,214,4,high,adjudicated,Amount adjudicated as 214; date normalized from sequence.
2023-05-08,678.00,Lun,08 Lun,678,4,high,verified,
2023-05-09,1156.00,Mar,09 Mar,1156,4,high,verified,
2023-05-10,340.00,Mier,10 Mier,340,4,high,verified,
2023-05-11,820.00,Jue,11 Jue,820,4,high,verified,
2023-05-12,309.00,Vier,12 Vier,309,4,high,verified,
2023-05-13,377.00,Sab,13 Sab,377,4,high,verified,
2023-05-15,1134.00,Lun,15 Lun,1134,4,high,verified,
2023-05-16,898.00,Mar,16 Mar,898,4,high,verified,
2023-05-17,693.00,Mier,17 Mier,693,4,high,verified,
2023-05-18,480.00,Jue,18 Jue,480,4,high,verified,
2023-05-19,710.00,Vier,19 Vier,710,4,high,verified,
2023-05-20,165.00,Sab,20 Sab,165,4,high,verified,
2023-05-21,,,21 [crossed],[blank],4,medium,missing_amount,Crossed date mark with no weekday or amount.
2023-05-22,696.00,Lun,[overwritten] Lun,696,4,medium,adjudicated,Overwritten source numeral adjudicated as May 22.
2023-05-23,950.00,Lun,23 Lun,950,4,high,verified,Weekday conflicts with calendar; preserved literally.
2023-05-24,780.00,Mar,24 Mar,780,4,high,verified,Weekday conflicts with calendar; preserved literally.
2023-05-25,802.00,Mier,25 Mier,802,4,high,verified,Weekday conflicts with calendar; preserved literally.
2023-05-26,1280.00,Jue,26 Jue,1280,4,high,verified,Weekday conflicts with calendar; preserved literally.
2023-05-27,951.00,Vier,27 Vier,951,4,high,verified,Weekday conflicts with calendar; preserved literally.
2023-05-28,344.00,Sab,28 Sab,344,4,high,verified,Weekday conflicts with calendar; preserved literally.
2023-05-30,590.00,Mar,30 Mar,590,4,high,verified,
2023-05-31,512.00,Mier,31 Mier,512,4,high,verified,
2023-06-01,772.00,Jue,01 Jue,772,4,high,verified,
2023-06-02,567.00,Vier,02 Vier,567,4,high,verified,
2023-06-03,648.00,Sab,03 Sab,648,4,high,verified,
2023-06-04,890.00,Lun,04 Lun,890,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-05,711.00,Mar,05 Mar,711,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-06,711.00,Mier,06 Mier,711,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-07,1056.00,Ju.,07 Ju.,1056,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-08,211.00,Vier,08 Vier,211,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-09,311.00,Sab,09 Sab,311,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-11,1460.00,Lun,11 Lun,1460,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-12,1098.00,Mar,12 Mar,1098,4,high,verified,Written weekday conflicts with calendar; numeric date preserved literally.
2023-06-13,790.00,Mier,13 Mier,790,4,high,verified,Written weekday conflicts with calendar; crossed duplicate June 14 amount 1056 excluded.
2023-06-15,820.00,Vier,15 Vier,820,4,medium,adjudicated,Date retained within headed range; weekday conflicts with calendar.
2023-06-16,324.00,Vier,16 Vier,324,5,high,verified,
2023-06-17,360.00,Sab,17 Sab,360,5,high,verified,
2023-06-19,671.00,Lun,18 Lun,671,5,high,adjudicated,Literal source says 18 Lun; normalized to June 19 by weekday/calendar.
2023-06-20,488.00,Mar,20 Mar,488,5,high,verified,
